Title,Author,Total,Unique
Rejection,Tony Tulathimutte,127,72
The Old Man and the Sea,Ernest Hemingway,92,71
The Magus,John Fowles,101,70
1Q84,Haruki Murakami,137,70
Glamorama,Bret Easton Ellis,113,69
Either/Or,Søren Kierkegaard,103,69
Book of the New Sun,Gene Wolfe,96,69
The Wind-Up Bird Chronicle,Haruki Murakami,82,68
The Picture of Dorian Gray,Oscar Wilde,72,68
Child of God,Cormac McCarthy,89,67
Nightwood,Djuna Barnes,85,67
A Visit from the Goon Squad,Jennifer Egan,102,66
Das Kapital,Karl Marx,120,66
Light in August,William Faulkner,101,66
Hard Rain Falling,Don Carpenter,94,66
On the Road,Jack Kerouac,86,66
All Fours,Miranda July,102,66
A Farewell to Arms,Ernest Hemingway,74,65
Europe Central,William T. Vollmann,94,65
Culture of Narcissism,Christopher Lasch,79,65
Intermezzo,Sally Rooney,100,64
The Unbearable Lightness of Being,Milan Kundera,72,64
A Sport and a Pastime,James Salter,70,64
Buddenbrooks,Thomas Mann,95,64
Sexual Personae,Camille Paglia,91,64
Sometimes a Great Notion,Ken Kesey,78,63
Capitalist Realism,Mark Fisher,85,63
Ice,Anna Kavan,114,63
White Teeth,Zadie Smith,121,63
Dracula,Bram Stoker,104,63
Divine Comedy,Dante Alighieri,70,62
Against Nature,Joris-Karl Huysmans,74,62
No Country for Old Men,Cormac McCarthy,71,62
Train Dreams,Denis Johnson,103,62
Huckleberry Finn,Mark Twain,119,62
The Netanyahus,Joshua Cohen,83,61
Homesick For Another World,Ottessa Moshfegh,66,61
Augustus,John Williams,91,61
In Cold Blood,Truman Capote,75,61
Antkind,Charlie Kaufman,86,61
The Tartar Steppe,Dino Buzzati,68,60
For Whom the Bell Tolls,Ernest Hemingway,74,60
The Neapolitan Novels,Elena Ferrante,67,60
Platform,Michel Houellebecq,95,59
We Have Always Lived in the Castle,Shirley Jackson,67,59
The Vegetarian,Han Kang,90,59
Life and Fate,Vasiliĭ Semenovich Grossman,81,59
Nausea,Jean-Paul Sartre,67,59
Bartleby the Scrivener,Herman Melville,70,59
Never Let Me Go,Kazuo Ishiguro,96,58
A Portrait of the Artist as a Young Man,James Joyce,63,58
The Man Without Qualities,Robert Musil,66,58
Good Old Neon,David Foster Wallace,69,57
The Guest,Emma Cline,80,57
No One Is Talking About This,Patricia Lockwood,70,57
House of Mirth,Edith Wharton,64,57
Brave New World,Aldous Huxley,94,57
Mating,Norman Rush,88,57
Cannery Row,John Steinbeck,73,56
Valis,Philip K. Dick,78,56
Temple of the Golden Pavilion,Mishima Yukio,64,56
Love in the Time of Cholera,Gabriel García Márquez,63,56
Ada,Vladimir Nabokov,100,55
Slouching Towards Bethlehem,Joan Didion,83,55
Thus Spoke Zarathustra,Friedrich Nietzsche,80,54
Anti-Oedipus,Gilles Deleuze,77,54
I Who Have Never Known Men,Jacqueline Harpman,60,54
Agua Viva,Clarice Lispector,72,54
Wise Blood,Flannery O'Connor,75,54
Boy Parts,Eliza Clark,71,54
Gone Girl,Gillian Flynn,91,54
Bleak House,Charles Dickens,80,54
The Left Hand of Darkness,Ursula K. Le Guin,60,53
Leaving the Atocha Station,Ben Lerner,59,53
True Grit,Charles Portis,69,53
The Haunting of Hill House,Shirley Jackson,60,53
Macbeth,William Shakespeare,90,53
Story of the Eye,Georges Bataille,63,53
New York Trilogy,Paul Auster,67,53
Man's Search for Meaning,Viktor Frankl,55,52
The Crossing,Cormac McCarthy,87,52
Warlock,Oakley Hall,103,52
Demian,Hermann Hesse,65,52
The MANIAC,Benjamín Labatut,73,51
The Heart is a Lonely Hunter,Carson McCullers,61,51
"Speak, Memory",Vladimir Nabokov,69,50
Hyperion,Dan Simmons,69,50
Trainspotting,Irvine Welsh,84,50
The Mill on the Floss,George Eliot,65,50
Speedboat,Renata Adler,66,50
Orlando,Virginia Woolf,68,50
Breasts and Eggs,Mieko Kawakami,63,50
The White Album,Joan Didion,70,50
Bunny,Mona Awad,90,49
The Dead,James Joyce,77,49
Middlesex,Jeffrey Eugenides,89,49
